classes	TEL-AML1_1	TEL-AML1_2	TEL-AML1_3	TEL-AML1_4	TEL-AML1_5	TEL-AML1_6	TEL-AML1_7	TEL-AML1_8	TEL-AML1_9	TEL-AML1_10	TEL-AML1_11	TEL-AML1_12	TEL-AML1_13	TEL-AML1_14	TEL-AML1_15	TEL-AML1_16	TEL-AML1_17	TEL-AML1_18	TEL-AML1_19	TEL-AML1_20	TEL-AML1_21	TEL-AML1_22	TEL-AML1_23	TEL-AML1_24	TEL-AML1_25	TEL-AML1_26	TEL-AML1_27	TEL-AML1_28	TEL-AML1_29	TEL-AML1_30	T-ALL_1	T-ALL_2	T-ALL_3	T-ALL_4	T-ALL_5	T-ALL_6	T-ALL_7	T-ALL_8	T-ALL_9	T-ALL_10	T-ALL_11	T-ALL_12	T-ALL_13	T-ALL_14	T-ALL_15	T-ALL_16	T-ALL_17	T-ALL_18	T-ALL_19	T-ALL_20
9258	0	0	0	0	0	0	0	1236.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	576.8	0	0	0	0
9256	0	3593.5	1908.9	7000.9	0	4458	0	7762.8	2832.8	15368.5	2431.1	0	2312.1	3344.3	4694	2597.9	6249.6	8210	0	0	0	0	4379.8	2517.6	3542.7	3179.4	3108.2	6115.5	4703.6	0	3421.7	704.1	2175.8	2903.2	0	0	4063.8	0	0	7420	2614.6	0	0	0	1622.6	1807.1	594.4	0	6550.9	0
9525	0	0	2258.1	0	1599.6	0	0	3546	3196.8	0	1332.8	0	0	1182.1	0	0	1474.7	1437.4	0	0	0	2429.9	2398.2	0	0	0	0	0	0	0	0	1883.2	0	1829.7	0	0	0	0	0	1693.5	1341.9	0	0	955.5	0	0	0	0	1957.4	0
9254	0	0	0	0	0	0	0	0	3983.8	0	0	0	0	0	0	0	4953.8	0	0	4585.7	0	6147.9	5097.9	2969.7	0	3385.6	7761.1	4274.5	0	0	0	3717.3	0	0	4887.5	0	0	0	0	0	3189.7	0	0	0	0	0	0	0	0	0
9527	3964.1	2061.7	4162.2	7599.6	5462.2	0	3786.9	7705.5	4088.5	3423.2	6327.1	8116.8	5044.7	5716	0	4806.7	6647.9	4590.2	8328.3	1930.7	4413.3	6785.2	7329.7	3041.7	9442.3	1990.9	5018	3952.6	4444.4	3337.1	8018.1	4884.1	4996.8	3645.5	4139	4448.5	0	0	4009.3	5184.6	4442	0	5245.5	1819.6	6278.7	4931.3	7028.5	2351.4	4923.4	0
9520	0	5225.4	1312.9	2583.5	0	0	0	3345.7	2917.1	0	1189.1	4600.8	0	0	0	1217.7	0	0	0	0	3385.1	0	0	2532.2	0	1453.1	2842.2	3008.1	0	0	7194.6	2995	2222.7	3159.5	0	2920	0	4308.9	6118.2	6176.7	2472.1	0	3758.3	4812.4	3803.4	1633.2	4709.3	4569.8	5994.2	0
9521	5542.7	8264.8	7936.2	3535.5	4840.4	0	0	5569.7	5070.3	5603.3	5489.3	0	7800.1	6827.5	6040.2	6799.2	4887.1	3660.5	5502.1	9237.6	3500.3	6200.4	0	6055.4	5583.7	5491.4	8817.7	5916.8	7820.3	4307.8	5028.5	9983.6	8536.2	7753.8	7532.8	9971.7	6316.5	7062.8	4423.8	7996.7	7051.8	4958.9	9691.1	9135.9	9975.6	6234.1	9992.9	10508.9	9934.2	0
9522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1894.9	0	0	0	307.2	0	0	0	0	2457.6	0	0	0	0	0	0	0	0	0	0	2542.7	0	0	968.3	0	0	0	0	0
727897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4594.2	0	0	0	0	0	0	0	0	0	0	0	0	0
26020	7410.4	6923.3	7763.9	5522.7	9829.1	8898.9	0	13663.9	0	5025.3	7768.2	10962.3	7120	5309.1	7162.2	7573.8	10080.5	0	8473.2	7019.5	4218	0	4889.5	6452.6	4272.8	9247.9	8814.1	5858	7490.4	0	0	1713.1	0	0	0	0	0	0	0	0	5053.8	6163.8	0	0	2505.7	4003	0	2984.9	0	0
26027	0	0	2275.5	0	0	0	0	0	0	0	0	4860	0	0	4318.6	0	0	0	0	0	0	4979.3	0	0	0	0	0	622	0	0	0	1406.5	0	0	0	0	0	0	4162.4	0	2331.6	0	0	1364.6	0	0	0	0	0	10371.5
26025	0	0	3501.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5754.6	0	0	5650.3	5758.6	0	0	0	0	5297.8	0	4832.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26574	8840.2	7053.5	9951.3	8582.4	9858.2	10078.8	8197.3	12478.2	13708.7	5341.7	9580.1	5423.6	9852.5	8535.1	8189.2	9926.6	10247.1	8935.2	5243.8	10463.2	6317.3	0	7828	7097.3	8916.8	8754.8	9089.5	7498	8951.8	6497	13788.2	10492.2	15000.9	10991.3	12538.9	10239	0	12679.8	11685.3	12898.8	10575.5	10090.1	14151.9	9521.4	15344.4	11024.4	13985.7	8151.5	12134.5	5738.2
203611	0	0	0	1152.3	0	0	0	0	0	0	0	0	1806.1	0	0	0	0	0	0	0	0	0	0	2307.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7284.2	0	0	0	0	0	0	0
100534595	0	0	0	3912.8	0	0	0	0	0	4609.7	0	3957.5	4889.5	3403.5	0	4834.9	0	4205.6	0	0	3886.7	0	0	3745.6	0	3523.6	0	0	0	0	0	2585.3	5447.9	4418.3	2890.2	4355	0	0	0	2669	0	5490.9	5251.6	2639.3	4463.1	3320	4517.1	2159.7	0	0
22875	0	7818.6	0	0	0	0	0	4422.9	0	0	0	0	0	0	0	3133.3	4831.6	3830.8	6948.7	0	0	6705	0	0	0	0	3042.1	0	0	7200.7	2199.2	3048.2	0	7047.5	2195.7	0	0	5214.3	0	4226.1	0	0	0	4214.7	0	0	4590	0	5600.2	2970.7
22876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2017	1307.7	0	0	0
22877	6643.7	9414.6	14551.1	13863.1	7534.5	12437.5	10863.1	13039	8747.9	18323.7	12903.9	11914.1	6739.8	11282.4	21264.6	9324.3	17870.9	9593.8	7314.6	9504.7	23721.7	6528.1	11571.2	9431	22493.3	13797.6	15294.4	9559.4	7088.9	6352.7	3484.1	1350.5	1564.7	0	0	0	0	0	2789.6	0	0	0	0	3490	2005.3	3720.4	1808.6	0	7296.5	0
22870	12145.2	19131.1	13318.4	19937.4	20741.1	11394.3	8838.4	10747.9	15275.4	21431.8	14798.7	15092.6	12914.7	15763.9	12042.5	17819.7	16006.6	12165.4	14743.4	14337.9	18633.2	19276.8	16918.5	13372.3	19584.1	13500.8	13037.2	16198.9	8967.2	0	15668.9	21845.8	11846.5	8675.9	32009.6	16099.2	0	14024.8	16323	21748.9	17181.2	12995	9971.3	21582.2	13159.2	15948.5	17428.7	20174.5	17256.9	0
22871	0	0	0	0	0	0	0	0	2028.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1462.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22872	3599.9	3499.6	3614.1	0	3350.5	3664.4	0	0	0	1492	0	0	4142.2	0	3754	1922.3	0	0	0	2776.1	0	0	2894.3	0	4599.3	2130.7	0	4083.2	0	2218.9	4106.3	3554.2	3135.3	3875.5	3968	2435.7	0	3952.6	4233.2	0	2285.6	4833.6	4860.4	2988.7	2373.8	4366	3052.8	2678.7	0	0
22873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1025.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3888.7	0	0	0	0	0	0	0
22878	0	7181.8	11430.9	17291.5	0	7795.3	10708.3	9815.5	11059.3	13194.3	14223.8	9724.2	9748	9786.4	0	11237	7431.5	8723.7	7831	7901.8	9006.3	10226.5	6658.9	9064.1	17209.2	8301.3	9653	7300.9	6288.3	7972.3	6036.3	11526.3	6388.4	6061.4	8354	0	0	8718.3	4281	0	5776.5	7839.3	0	4607.5	7482.4	7228.4	4673.1	5620.5	5508.4	0
138046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5833.8	3047.5	0	0	3259.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1662.3	0	0	0	0	0	0	0	0	0
3512	8440	6648.5	12885.7	7507.5	2889	2854.8	2710	31093.2	1671	15323.4	9129	5167.7	6444.4	2215	9650.4	6548.3	6092.3	3916.8	0	0	3548.3	1219.4	4805.8	5398.8	3942.7	3469.3	0	11654.6	0	6725.5	0	1509.9	0	0	0	3550.3	0	0	0	0	1078.3	0	0	4234.2	0	0	1968.1	0	0	0
3516	0	4383.2	2700.3	2333.4	3879.1	0	5921.5	4450.3	3138.6	3295.6	3646	3135.2	4001.3	3508.4	4307.5	3394.9	3664	2957.9	0	4052.5	2835.3	2727.1	4144.4	3209.8	4719	3951.5	2234	2447.8	0	0	0	2837.1	3560.6	1655.2	3800.1	3891.6	0	3076.4	1852	3207.1	3140.8	4035.5	0	4715.9	3072.8	3978.2	4255	2828.2	0	3403.5
3514	0	17364.4	51701.2	33618.9	23439.9	15717.4	10945.2	96211.9	20994.9	26521.3	13196.1	8671.3	30548.8	34570.4	9774.8	65228.4	25484.5	15472	20661.2	16870.6	21784.1	34215.8	32124	28302.7	11079.3	17578.8	26251.7	133724.8	0	22708.8	5013.1	61242.4	0	8797.1	26391.7	36812.5	7258.7	10239.6	0	10097.1	9054.8	5148.9	0	26086	7453.8	15226.6	26678.6	11418.2	15474.9	0
2688	0	0	0	4021.2	0	0	0	0	0	0	3006.4	0	0	2337.4	0	2006.4	0	0	2292	0	0	0	2177.2	2080.6	1935.3	1114.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2317.3	0	0	0	0	1765	0	0	0	0	0	0	0	0	0	0	0	0	0	1296.5	0	3472.3	0	0	1151.1	0	0	0	0
727837	2160.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4613.2	0	0	0	0	0	0	0
2687	0	0	0	0	0	0	0	0	0	0	4862.1	0	0	4527.6	0	0	0	0	0	0	0	0	0	0	0	0	0	4962.6	0	0	0	3062	0	4291.7	0	0	0	0	0	0	0	0	0	0	0	0	0	2793.7	0	0
2683	16317.2	8913.9	8680.8	7409.5	5628.5	0	8201	6082	5835.5	11265.6	6034.8	12756.9	6843.8	7548	11753.2	4632	8723.7	6786.7	5077.5	7538.6	6928.5	8631.8	0	5554.9	0	7197.3	2904.9	10982.7	6327.2	5205.3	6608	7956.1	5502.5	4963.8	5691.1	3114.4	0	0	10029.9	6109.7	6713	7522.1	0	3027.8	0	8216.9	3021.9	4333.8	4823.4	0
98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1006.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	745.4	0	0	0	0	0
91	0	0	0	0	0	0	0	11812.8	0	0	0	0	0	0	0	0	0	11644	0	0	0	0	0	0	0	15981.7	0	0	0	13243.5	8910.7	0	0	0	0	0	0	0	0	0	0	0	0	9907.5	0	0	0	0	0	0
90	2965.7	2055.2	0	0	0	0	0	0	0	0	0	3325.8	0	0	0	861.6	2289.1	1617.2	0	0	1623.4	2199	0	1267.6	0	1017.4	0	2323.3	0	0	0	0	0	0	2827	0	3823.9	0	0	0	569.2	0	3477.6	0	594.4	0	0	0	0	0
93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
92	0	1677	0	0	2913.9	0	0	0	0	0	0	0	0	0	0	0	2530.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	837.4	0	359.6	0	0	0	0
95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1279.8	0	0	0	1041.2	0	0	2041.5	0	0
94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7754.5	17533.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
97	2857.4	2397.3	3333	4540.9	0	4794.1	6588.2	8240.2	6898.3	1986.7	2707.3	3861.6	8800.5	4555.5	3297	3758.8	2012.1	3168	7112.1	3233.9	3893.4	2312.6	2623.5	11740.3	3700.7	2356.2	3146.7	3939.2	0	2594.3	5167	3315.4	4097.9	9339.9	2643.3	0	6572.4	3216.2	3064	5975.3	2547.6	0	0	4408.4	6453.4	3925.4	4369.6	4851.2	4015.8	6203.8
280657	6052.7	1997.8	0	4226	3998	0	2349.8	0	0	0	0	3123	1458.7	0	0	1005.8	0	0	0	2266.5	2412.2	3316.5	2772.3	0	2876	1012.9	0	2647.2	2763.9	3071.9	0	0	2248.1	0	0	0	0	0	1426.6	0	0	0	0	961.6	581.5	0	0	1076.8	1454.2	6507.9
23300	2071.6	0	0	2366.8	0	0	0	0	0	2243.8	0	4050.1	2070.7	0	0	0	2673.5	0	1172.9	0	2119.7	0	0	885.9	0	924.2	0	0	0	0	3137.7	1774.6	0	0	1363.6	0	0	0	0	2169.1	0	0	3806.1	0	1188.6	2725.7	2535.1	1393.7	0	0
