classes	T-ALL_1	T-ALL_2	T-ALL_3	T-ALL_4	T-ALL_5	T-ALL_6	T-ALL_7	T-ALL_8	T-ALL_9	T-ALL_10	T-ALL_11	T-ALL_12	T-ALL_13	T-ALL_14	T-ALL_15	T-ALL_16	T-ALL_17	T-ALL_18	T-ALL_19	T-ALL_20	T-ALL_21	T-ALL_22	T-ALL_23	T-ALL_24	T-ALL_25	T-ALL_26	T-ALL_27	T-ALL_28	T-ALL_29
270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55837	0	2534.8	4572.4	0	0	0	0	0	0	0	4123.9	4539.1	6266.4	3793.5	3841.5	0	0	5382.6	0	0	0	0	3255.2	0	0	0	0	0	4622.8
272	0	1531.7	0	0	2815	0	0	0	2974.3	0	1435.3	0	0	3818	0	0	0	1433.6	2283.3	0	0	0	1653.4	0	0	0	3202.1	1381.7	0
273	0	0	0	0	0	0	0	0	2006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55832	0	2029.1	0	0	2257.7	2618.2	0	3626.9	1669.7	0	2458.8	0	0	1574.2	1021.3	1736.1	0	2098.2	2284.9	0	0	1012.2	2299.7	0	3373.3	6735.6	0	1782.4	0
275	1676.8	0	0	0	0	0	0	3894.3	3383.5	0	0	2389.4	0	1918.9	2005.8	2103.5	1954.4	0	3967.3	0	0	2378.2	0	4208.5	0	0	0	0	1378.7
55830	2991.1	2522.7	0	0	3078.6	0	0	0	1605.5	0	1632.6	3878	0	2271.8	1376.7	2048.6	1527.7	2184.7	3358.5	0	0	0	0	0	0	0	0	2015.3	2319.4
277	0	0	0	0	0	0	0	0	0	0	1283.3	0	0	1516.7	1551.5	0	0	0	0	0	0	0	0	0	2116	0	0	2023.5	0
278	0	0	0	0	0	0	0	0	0	0	1283.3	0	0	1516.7	1551.5	0	0	0	0	0	0	0	0	0	2116	0	0	2023.5	0
279	0	0	0	0	0	0	0	0	0	0	1283.3	0	0	1516.7	1551.5	0	0	0	0	0	0	0	0	0	2116	0	0	2023.5	0
1371	0	1593.5	0	0	0	0	0	0	0	0	1138.7	0	2379.6	0	2107.5	0	0	1375.7	0	0	0	0	2629	0	0	2782.2	0	0	0
221960	8710.7	5037.1	6171.1	7311.5	5075.9	5804.2	9004.4	7209	5730.6	7563.8	9042.8	10020.6	10964.4	7023.1	7425.3	7158.9	4183.4	7487.4	6171.8	0	7562.8	5116	5013.2	4078.7	7625.6	5744.7	0	7291.5	5899.5
9528	6009.3	6009.7	6633.7	5625.5	5662.2	4056.6	0	5322.2	6304.6	3886	5942.6	13759.5	0	9350	5391.8	5621.5	5606.3	6206.1	7504.4	0	3594.1	5732.6	8071.3	3168.2	7825.4	5403.9	0	5337.4	9766.4
9529	6357.9	3454.3	3632.3	0	6092.8	4299.1	0	5059.2	4758.7	0	3543.4	0	0	4020.7	5006.1	4616.1	3128.4	5443.7	4226.1	4967.4	0	6474.3	7058.2	3128	3225.7	6144.6	5014.9	5259.2	5016.1
9258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	576.8	0	0	0	0	0	2615.5	0	0	0	0	0	0	0
9256	3421.7	704.1	2175.8	2903.2	0	0	4063.8	0	0	7420	2614.6	0	0	0	1622.6	1807.1	594.4	0	6550.9	0	1675.1	15894.3	0	4243.4	0	0	0	3500.2	0
9525	0	1883.2	0	1829.7	0	0	0	0	0	1693.5	1341.9	0	0	955.5	0	0	0	0	1957.4	0	0	0	0	0	0	0	0	0	0
9254	0	3717.3	0	0	4887.5	0	0	0	0	0	3189.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9527	8018.1	4884.1	4996.8	3645.5	4139	4448.5	0	0	4009.3	5184.6	4442	0	5245.5	1819.6	6278.7	4931.3	7028.5	2351.4	4923.4	0	3410	4899.1	6290.5	3208.3	5693	4330.4	0	7108.5	2475.9
9520	7194.6	2995	2222.7	3159.5	0	2920	0	4308.9	6118.2	6176.7	2472.1	0	3758.3	4812.4	3803.4	1633.2	4709.3	4569.8	5994.2	0	0	0	5487.6	0	0	5084.3	0	3666.6	3483.1
9521	5028.5	9983.6	8536.2	7753.8	7532.8	9971.7	6316.5	7062.8	4423.8	7996.7	7051.8	4958.9	9691.1	9135.9	9975.6	6234.1	9992.9	10508.9	9934.2	0	9688.2	0	10082.3	4553.6	7151.2	0	0	7306.3	7194.1
9522	2457.6	0	0	0	0	0	0	0	0	0	0	2542.7	0	0	968.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
727897	0	0	0	0	0	0	4594.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26020	0	1713.1	0	0	0	0	0	0	0	0	5053.8	6163.8	0	0	2505.7	4003	0	2984.9	0	0	0	0	3228.7	8889	0	0	0	0	0
26027	0	1406.5	0	0	0	0	0	0	4162.4	0	2331.6	0	0	1364.6	0	0	0	0	0	10371.5	0	0	0	0	0	0	0	0	0
26025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5143.4	0	0	5472.9	0
26574	13788.2	10492.2	15000.9	10991.3	12538.9	10239	0	12679.8	11685.3	12898.8	10575.5	10090.1	14151.9	9521.4	15344.4	11024.4	13985.7	8151.5	12134.5	5738.2	9873.8	11194.1	10155.5	8608.7	10955	7021.4	13604.3	9107.5	9159.2
203611	0	0	0	0	0	0	0	0	0	0	0	0	7284.2	0	0	0	0	0	0	0	0	0	0	0	1366.1	0	0	0	0
100534595	0	2585.3	5447.9	4418.3	2890.2	4355	0	0	0	2669	0	5490.9	5251.6	2639.3	4463.1	3320	4517.1	2159.7	0	0	5722.1	0	5027.2	4836.3	2942.4	0	0	2988.7	5434.8
22875	2199.2	3048.2	0	7047.5	2195.7	0	0	5214.3	0	4226.1	0	0	0	4214.7	0	0	4590	0	5600.2	2970.7	0	16399.3	0	0	4471.9	0	0	5376.9	0
22876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2017	1307.7	0	0	0	0	0	0	0	1834.6	0	0	0	0
22877	3484.1	1350.5	1564.7	0	0	0	0	0	2789.6	0	0	0	0	3490	2005.3	3720.4	1808.6	0	7296.5	0	2206.9	0	4033	6618.2	3190.7	0	0	2930.2	0
22870	15668.9	21845.8	11846.5	8675.9	32009.6	16099.2	0	14024.8	16323	21748.9	17181.2	12995	9971.3	21582.2	13159.2	15948.5	17428.7	20174.5	17256.9	0	21803.3	19558	21744.1	14079.8	24545.2	10486.3	22278.6	27524.9	20462.8
22871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22872	4106.3	3554.2	3135.3	3875.5	3968	2435.7	0	3952.6	4233.2	0	2285.6	4833.6	4860.4	2988.7	2373.8	4366	3052.8	2678.7	0	0	0	4872.1	0	0	5704.9	0	0	4224	4597.8
22873	0	0	0	0	0	0	0	0	0	0	0	0	3888.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22878	6036.3	11526.3	6388.4	6061.4	8354	0	0	8718.3	4281	0	5776.5	7839.3	0	4607.5	7482.4	7228.4	4673.1	5620.5	5508.4	0	4737.9	4949.8	5610	6779.9	5016	5174.7	0	8152	5760.2
138046	0	0	0	0	0	0	0	0	0	0	1662.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3512	0	1509.9	0	0	0	3550.3	0	0	0	0	1078.3	0	0	4234.2	0	0	1968.1	0	0	0	0	0	4601.6	15263.1	0	4351	0	4989.7	26642
3516	0	2837.1	3560.6	1655.2	3800.1	3891.6	0	3076.4	1852	3207.1	3140.8	4035.5	0	4715.9	3072.8	3978.2	4255	2828.2	0	3403.5	0	2982.4	4497.1	2450.3	2973.1	6773.6	0	2828.2	3996.1
3514	5013.1	61242.4	0	8797.1	26391.7	36812.5	7258.7	10239.6	0	10097.1	9054.8	5148.9	0	26086	7453.8	15226.6	26678.6	11418.2	15474.9	0	6900.3	13167.2	25990.2	49662.3	8277.3	81280.3	0	22448.4	0
2688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2689	0	0	0	0	0	0	0	0	0	0	1296.5	0	3472.3	0	0	1151.1	0	0	0	0	0	0	0	0	0	0	0	0	0
727837	0	0	0	0	0	0	0	0	0	0	0	0	4613.2	0	0	0	0	0	0	0	0	0	0	0	0	0	3264.7	0	0
2687	0	3062	0	4291.7	0	0	0	0	0	0	0	0	0	0	0	0	0	2793.7	0	0	0	0	0	0	0	0	0	0	0
2683	6608	7956.1	5502.5	4963.8	5691.1	3114.4	0	0	10029.9	6109.7	6713	7522.1	0	3027.8	0	8216.9	3021.9	4333.8	4823.4	0	7026	0	7050	5992.2	4531.1	7669.9	0	4745	5336.1
98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	745.4	0	0	0	0	0	0	0	0	0	0	0	0	634.4	0
91	8910.7	0	0	0	0	0	0	0	0	0	0	0	0	9907.5	0	0	0	0	0	0	0	0	0	0	0	6994.1	11055.6	0	8166.7
90	0	0	0	0	2827	0	3823.9	0	0	0	569.2	0	3477.6	0	594.4	0	0	0	0	0	0	0	0	0	1883.7	0	0	0	0
93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
92	0	0	0	0	0	0	0	0	0	0	0	0	0	837.4	0	359.6	0	0	0	0	0	0	0	0	0	0	0	0	0
95	0	0	0	0	0	0	0	0	0	0	1279.8	0	0	0	1041.2	0	0	2041.5	0	0	0	0	0	0	0	0	0	0	0
94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
97	5167	3315.4	4097.9	9339.9	2643.3	0	6572.4	3216.2	3064	5975.3	2547.6	0	0	4408.4	6453.4	3925.4	4369.6	4851.2	4015.8	6203.8	4207.3	6942.2	4962.3	2747.2	1600.7	3279.9	6897.9	5082.9	3108.5
280657	0	0	2248.1	0	0	0	0	0	1426.6	0	0	0	0	961.6	581.5	0	0	1076.8	1454.2	6507.9	0	0	0	2161.4	0	0	4450.3	0	899.8
23300	3137.7	1774.6	0	0	1363.6	0	0	0	0	2169.1	0	0	3806.1	0	1188.6	2725.7	2535.1	1393.7	0	0	0	0	0	0	0	0	0	1888.9	3153.1
29760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16200.4	0	0	0	0	0
1176	6005.1	8520	5139.8	7674.2	7600.9	4798.3	0	4502.2	12610.1	6109.7	5917.5	4420	9839.1	5282.9	9866.7	5209.5	4995.3	8170.4	6129.8	0	0	4814.7	5139.7	6497.8	10638.6	6483.4	0	11142.6	4004.2
1175	12799.4	16423.8	8689.9	10786.4	13890.2	10621.9	10227.8	12458.6	10408.1	15039.4	14175.6	11137.1	0	6203.8	11837.7	9873.3	13927.1	9701.6	10266.8	0	12338.9	9955.2	16112.4	8563.8	10941.9	6885.1	7141.7	14378	10646
157922	0	2176.7	0	0	2313.6	0	0	0	0	0	2441.6	0	0	0	0	0	0	2636	0	0	0	0	2665.7	3809.1	2938.5	0	0	2633.7	0
23509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	761.4	0
23508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1506.3	0
23507	0	0	0	0	0	0	0	0	0	2316.7	0	1291.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
147694	0	893.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23504	0	0	0	0	0	0	0	0	1690.4	0	0	0	0	0	0	0	0	0	0	3377.7	2455.9	0	0	0	0	0	0	0	2499.2
23503	0	1595.1	0	0	1770.2	0	0	3802.7	2769.2	0	0	0	0	2332.9	0	0	0	2250.7	4264.9	8992.9	0	0	0	0	0	0	0	0	0
23053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6733	0	0	0
375035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2246.2
7188	5632.6	5505.9	3754.2	5078.6	5831.5	3379.7	0	6972.7	11552.6	5744.3	2781	3948.2	9130.7	10977	5940.4	4059.8	6593.5	3517.4	0	13200.3	5428.4	7944.7	4632.6	5968.7	7465.4	5036.4	8503.3	4562.1	5066.9
7189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7181	2042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1067.3	0	0	0	0	0	0
7182	0	0	0	0	1065.3	0	0	0	0	0	851.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2500.2	0	0	0
29105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2597.5	0	0	0	0	0	0	0	3147.5	0	0	0	0	3167.5	0
7187	0	830.2	0	0	0	0	0	2523.9	0	0	0	0	0	0	781.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3433	0	0	0	0	1014.6	0	3278.9	0	1462.8	0	0	0	0	0	0	0	0	970.6	0	7656.1	0	0	0	0	0	0	0	0	0
401014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3434	0	0	0	0	0	0	0	0	0	3626.6	4178.1	4820.3	9811.9	0	0	0	0	0	0	0	0	9953.8	0	14444.9	0	2876.1	0	3877.3	0
101060478	0	4208.2	0	0	3325.3	4389.8	0	4858.5	0	3462.3	2063.5	0	0	0	5631.5	0	3051.1	2402.4	0	0	0	3969.6	2261.7	3251.7	0	0	0	2849.7	0
283652	0	0	0	0	967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8549	0	0	0	0	2017.7	0	0	0	0	0	0	0	0	1317.7	0	0	0	0	0	0	1215.3	0	0	0	0	0	0	0	0
8548	2287.9	515	0	0	0	0	4905.9	0	0	0	0	0	0	0	722.1	0	1498.3	1018.8	0	0	0	0	0	0	0	0	0	1479.2	2498.4
8019	15233.7	7227.4	9107.7	0	6684.4	9470.2	7186.1	15870.8	6391.3	8990	8500.2	7294.2	6704.6	7961.4	11351	9440.2	6960.3	6239.9	5954.8	8678.3	8485.8	5466.5	11305.7	11094.5	8473.8	0	0	8439.1	9599.6
8545	1869.8	2591.9	0	3764.8	3556.1	4518.2	0	0	0	0	3399.8	0	0	3086.4	1379.5	0	2199.7	807.1	2791.1	0	0	0	0	0	0	0	0	0	0
8544	0	0	0	0	0	0	0	0	0	2081.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8547	4428	0	0	0	0	0	0	0	0	0	1369	1576.7	0	2721.1	0	1881.4	2398.6	0	3664.4	0	2446.5	0	0	0	0	0	0	1644.4	0
8546	0	5164.6	7206.6	7206.9	7830	7684.8	0	6396.5	0	5410.6	5826	0	0	4251.9	6768.6	5559.7	4345.8	5142.5	3603.2	0	0	0	5155.5	0	6725.1	0	0	6054.3	5489
8013	-1066.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8540	0	2820.9	2943	6409.3	2812.9	2919.7	0	0	0	0	3710	0	0	2734.9	2686.4	2001.1	2237.1	2411.1	6002.9	0	0	0	0	0	0	0	0	2881.9	0
8543	0	4911.5	0	0	16963.7	14947.9	0	8511.3	0	0	0	3231.2	0	1883.5	791.3	0	0	4629.6	4283.3	0	0	0	0	0	8650.8	0	0	3344.6	4621.5
8542	0	0	0	0	0	0	0	0	0	0	0	2596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7456	0	0	0	0	0	0	0	0	0	1958.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2037	1893.2	2087.6	1294.2	0	0	0	0	0	0	0	1881.9	0	3556.3	0	2359.4	0	1898.5	3555.3	0	0	0	0	1904.8	1325.3	1864.9	3431.1	0	1555.3	0
7454	13307.3	8446.3	13548.2	6691.8	12352	14180.9	0	0	9202.7	9481	13483.8	11720.5	0	13977.4	5862.8	13015	13106.2	9646.2	12883.6	10678	15139.8	12555.9	10728.8	17853.6	9015.5	10758.5	0	14705.5	14658.4
375056	0	0	0	0	0	0	0	0	0	0	956.2	0	0	0	0	0	0	0	2288.6	0	0	0	0	0	2415.7	0	0	0	2632.3
7453	4452.6	1889.5	1949.7	3270	0	3634.3	0	0	2296.1	3094.1	3121.1	2895.5	0	2470.4	3000.9	2863.1	4028.6	4479.4	0	0	5627.9	0	0	0	2049.7	0	0	0	3917
7450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2036	4254.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2039	0	0	0
23658	0	970.2	0	0	0	0	0	0	0	0	0	0	0	0	731.2	0	0	0	0	0	0	0	984.7	0	2012.7	0	0	0	0
2035	0	2427.9	0	0	0	0	0	0	0	0	2184.7	0	0	1047	1106.7	1420	0	1079	2137.5	0	2576.1	0	0	0	0	2759.9	0	0	0
7458	13030.7	9980.8	15032.9	14968.4	13548.6	9492.1	7199.2	12178.3	11759.6	11142.8	13693.1	15290.9	8254.5	10067.5	11885.7	12677.8	9909	14811.4	8869.2	0	12451.2	8131.8	12882.3	11418.4	12717.1	9745.7	5824.6	14607	16024.1
23125	0	4494.7	2623.1	2196.2	3570.5	0	0	3847.3	4489.2	3609.5	2359.3	2161.2	0	1645.4	2966.4	0	3657.3	2731.1	2856	5936.4	3356	0	3069.9	2303.5	0	0	0	3728.6	4220.5
203068	119898.8	99830.2	96726.5	168204.8	100915.6	127454.1	111328.9	132567.9	86166.2	149120.8	175487.3	102523.3	126117.3	90195.1	169528.1	169850	166112.3	166959.2	74074.4	44073.5	159766.9	80713	114538.6	109432.8	90820.3	123438.7	139908	115006.2	85245.8
2033	0	1909.9	1986.9	0	2111.5	2379.5	0	8316.4	0	0	2020.2	4245.2	0	0	0	0	0	1303.2	0	0	0	0	0	0	2648.5	0	0	0	0
629	0	0	0	0	0	2393.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28387	0	3367.1	3067.9	0	0	0	0	0	4438.8	0	10718.1	0	0	0	4025.1	0	2823.5	9922.6	0	0	0	0	0	7491.2	0	0	0	4970.4	0
4594	0	1174.4	0	1643.3	2215.5	0	0	3172.4	0	0	1209.8	0	3691.1	2937	1359.1	0	0	1282.6	0	0	0	0	891.5	0	2087.7	0	0	1505.1	0
55623	9962.6	9591.5	4692.9	0	11697.8	11214.6	0	7700.2	4896.1	10314.7	6102.4	8180	0	7064.9	9247.3	8634.7	8683	4038.8	8253.2	0	6336	0	8677.1	10049.2	8346.9	7761	0	8753.9	6827.6
55621	0	2741.7	0	0	0	12600	0	0	0	0	795	0	0	5828	1600.4	0	2217.9	2260	14449.9	0	0	0	3015.7	0	5640.2	0	0	0	5260.2
4595	3628	3675.3	4214.9	5069.2	3178	3916.5	0	8095.4	5372.3	6174.1	8945.4	3691.9	4339.3	5502.5	8322.2	5258.8	5976.4	10003.4	6742.1	0	0	0	5885.4	2308.8	0	4418.8	9492.8	3853.6	3439.5
55627	3500.2	3943.4	4161.6	4709.2	5259.5	0	9380.9	7861.5	6133.2	6496.5	3941.9	3919.4	0	4356.6	7890.6	5124.1	5352.2	5138.5	4142.5	0	5430.7	7635.9	4604.7	4445.2	4659.1	8723.4	0	6483.7	2723.9
84900	0	0	0	0	0	0	0	0	0	0	0	2843.2	0	0	0	2523.2	0	0	0	0	0	0	0	0	0	0	0	0	0
84901	7687.7	4442.3	5502.6	6267.5	6261.5	4863.1	0	13866.2	8092.4	8330	1964.8	6683.2	0	7180.9	7281.3	2882.5	8256.1	7454.1	5643.9	0	5796.3	11953.2	7363.8	4441	4908.2	4081.1	0	6919.2	7809.2
10882	22743.2	21497.2	0	31256.7	23488.3	40869.5	0	19513.6	34175.7	27533.5	20653.5	14768.3	0	28173.6	24371.4	16716	0	21587.2	23179.8	0	28744.4	35587.1	21585.2	42129	28451.9	0	47011.3	14806.9	16654.5
84909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2809.1	0	0	0
23122	2800.7	3531.4	2477.8	2303.1	1661	2238.7	3572.2	3791	4005.7	4512.5	1943.5	3210.3	0	2972.2	3146.1	2189.8	2360	3287.3	0	2105.7	0	0	3615.4	0	2613.6	1844.7	0	4161.4	3578.9
4598	0	5827.2	10397.7	9941.4	7662.6	0	0	9319.7	12234.9	10249.7	10069.8	11647.3	0	10588.4	9277.2	7525.3	9106.7	5351.1	8887.4	36446.6	10256.4	0	0	15784.4	9040.4	0	0	7966.2	8768.1
4734	0	942.5	0	0	0	0	0	0	0	0	1630.9	1562.1	0	0	1606.9	0	1560.9	0	0	0	0	0	1893.7	0	0	0	0	0	0
221154	0	4019.1	3217.8	2404.3	4978.2	2113.9	0	0	0	0	2157.3	0	3401	2935.7	1920.2	1680.5	2222.4	2339.7	2581.5	0	2951.3	0	3605.4	3466.7	2895.1	3436.2	0	2291.4	6458.8
92086	0	0	0	0	1986.2	2878.6	0	0	3601.5	0	2347.4	0	0	2229	2550.9	0	0	949.2	0	0	0	3671.9	2002.9	3350.4	3494.4	0	0	1577.4	1682.2
2319	0	0	0	0	0	0	0	0	0	0	2588.6	0	0	0	0	0	0	2092.1	0	0	0	0	0	0	0	0	0	0	0
