classes	TEL-AML1_1	TEL-AML1_2	TEL-AML1_3	TEL-AML1_4	TEL-AML1_5	TEL-AML1_6	TEL-AML1_7	TEL-AML1_8	TEL-AML1_9	TEL-AML1_10	TEL-AML1_11	TEL-AML1_12	TEL-AML1_13	TEL-AML1_14	TEL-AML1_15	TEL-AML1_16	TEL-AML1_17	TEL-AML1_18	TEL-AML1_19	TEL-AML1_20	TEL-AML1_21	TEL-AML1_22	TEL-AML1_23	TEL-AML1_24	TEL-AML1_25	TEL-AML1_26	TEL-AML1_27	TEL-AML1_28	TEL-AML1_29	TEL-AML1_30	TEL-AML1_31	TEL-AML1_32	TEL-AML1_33	TEL-AML1_34	TEL-AML1_35	TEL-AML1_36	TEL-AML1_37	TEL-AML1_38	TEL-AML1_39	TEL-AML1_40	TEL-AML1_41	TEL-AML1_42	TEL-AML1_43	TEL-AML1_44	TEL-AML1_45	TEL-AML1_46	TEL-AML1_47	TEL-AML1_48	TEL-AML1_49	TEL-AML1_50
221960	3592.5	7427.8	6545.7	7525.6	4328.5	0	0	0	0	3988	4882	5450.9	6747.9	7180.4	0	6113.5	7693.8	4755.2	5671.7	7522.3	4303.7	5926.5	5539.3	4656	2629.7	5751.4	6056.3	4252.6	7180.1	4491.9	0	4930.1	3651	5255.8	0	0	7094.5	0	0	5039.2	4082.7	5916.9	5644.5	0	4524.4	5742	6150.1	0	4361.4	6666.7
9528	0	4933	6260.4	5475.2	7663.4	5241.6	6799.5	10120.5	0	6754.2	7942.8	6813.2	8516.2	5246.7	5916.4	6913.6	6843.6	3404.2	6484.2	3260	4830	7397	5434.7	6427.7	6285.4	5301	5145.2	7827.7	6080.4	8391.8	5996.2	8516.3	6642.9	4469.4	3299.9	6408.3	0	6188.8	4498.9	10061	7463	6203.4	6076.4	5965.5	8408	6990.7	4354.1	7218.8	7204.7	7543.9
9529	0	4033	4141.3	4504.4	0	0	4176	0	3426.5	5438.7	5264.6	0	3852.6	3573.1	0	4491.7	0	3352.6	0	5275.6	4867.6	5315.5	3790	4749	5886.8	3447.3	3682.1	3590.2	3455.5	0	3845.1	4309.3	0	5283.5	5693.7	0	4000.2	0	4699.9	0	4824.6	4732.8	5201.4	0	0	6972.7	0	5154.8	0	4438.6
9258	0	0	0	0	0	0	0	1236.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9256	0	3593.5	1908.9	7000.9	0	4458	0	7762.8	2832.8	15368.5	2431.1	0	2312.1	3344.3	4694	2597.9	6249.6	8210	0	0	0	0	4379.8	2517.6	3542.7	3179.4	3108.2	6115.5	4703.6	0	0	0	3142.5	7804.8	0	4655.9	3677.1	0	4929.9	5396.4	4349.8	3868.3	8400.9	9603.5	6225.6	2409.9	0	5574.5	4981.8	8570
9525	0	0	2258.1	0	1599.6	0	0	3546	3196.8	0	1332.8	0	0	1182.1	0	0	1474.7	1437.4	0	0	0	2429.9	2398.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1400.8	0	0	0	0	2247.5	0	0
9254	0	0	0	0	0	0	0	0	3983.8	0	0	0	0	0	0	0	4953.8	0	0	4585.7	0	6147.9	5097.9	2969.7	0	3385.6	7761.1	4274.5	0	0	0	0	3580.1	4358.4	6695.8	5182	0	0	0	5969	0	0	0	0	0	0	0	0	0	3402.7
9527	3964.1	2061.7	4162.2	7599.6	5462.2	0	3786.9	7705.5	4088.5	3423.2	6327.1	8116.8	5044.7	5716	0	4806.7	6647.9	4590.2	8328.3	1930.7	4413.3	6785.2	7329.7	3041.7	9442.3	1990.9	5018	3952.6	4444.4	3337.1	1221.4	3196.9	4781.8	2843.3	5954	6739.3	4708.5	6238.5	5057.6	3477.3	4539.6	5005.3	4665.1	5593.8	6263.4	5246.4	4137.2	4034.7	4292.8	4551.8
9520	0	5225.4	1312.9	2583.5	0	0	0	3345.7	2917.1	0	1189.1	4600.8	0	0	0	1217.7	0	0	0	0	3385.1	0	0	2532.2	0	1453.1	2842.2	3008.1	0	0	0	3409.2	0	3421.7	3422.1	0	2834.9	0	0	0	0	2386.3	3695.2	3475	0	1895.7	2439.2	0	0	2600
9521	5542.7	8264.8	7936.2	3535.5	4840.4	0	0	5569.7	5070.3	5603.3	5489.3	0	7800.1	6827.5	6040.2	6799.2	4887.1	3660.5	5502.1	9237.6	3500.3	6200.4	0	6055.4	5583.7	5491.4	8817.7	5916.8	7820.3	4307.8	4620.1	11136.9	6367.6	4531.1	5362.2	5358.8	5361.6	0	7328.6	6737.8	5825.2	7259.7	7840.1	2853.1	4229	10012.3	7200.4	6904.3	8545.9	6076.8
9522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1894.9	0	0	0	307.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	867.7	0	0	0	0	0	0	0
727897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26020	7410.4	6923.3	7763.9	5522.7	9829.1	8898.9	0	13663.9	0	5025.3	7768.2	10962.3	7120	5309.1	7162.2	7573.8	10080.5	0	8473.2	7019.5	4218	0	4889.5	6452.6	4272.8	9247.9	8814.1	5858	7490.4	0	6504.6	0	7623.5	0	6897.6	4069.9	7717.3	6880.6	7208.7	5970.9	8325.8	6569.6	4680.3	6175.1	5780.4	0	5862.7	7276.9	0	8208.9
26027	0	0	2275.5	0	0	0	0	0	0	0	0	4860	0	0	4318.6	0	0	0	0	0	0	4979.3	0	0	0	0	0	622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1447.6	0	0	0	0	0	0
26025	0	0	3501.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5754.6	0	0	5650.3	5758.6	0	0	0	0	5297.8	0	4832.4	0	0	6624.1	0	0	0	0	4680.9	0	0	0	5513.1	0	4074	0	5827.5	0	5253.8	0	7436	0
26574	8840.2	7053.5	9951.3	8582.4	9858.2	10078.8	8197.3	12478.2	13708.7	5341.7	9580.1	5423.6	9852.5	8535.1	8189.2	9926.6	10247.1	8935.2	5243.8	10463.2	6317.3	0	7828	7097.3	8916.8	8754.8	9089.5	7498	8951.8	6497	11260.1	8731.2	7201.7	8846	11172.9	9410.4	12288.7	9706.7	9070.2	10149.1	9143.9	7459.8	7407.8	10071	8252.3	10362.3	8069.6	3878.1	6882	8905.6
203611	0	0	0	1152.3	0	0	0	0	0	0	0	0	1806.1	0	0	0	0	0	0	0	0	0	0	2307.7	0	0	0	0	0	0	0	0	0	0	0	0	0	3504.1	0	0	0	0	0	0	0	0	0	536.3	0	1795.8
100534595	0	0	0	3912.8	0	0	0	0	0	4609.7	0	3957.5	4889.5	3403.5	0	4834.9	0	4205.6	0	0	3886.7	0	0	3745.6	0	3523.6	0	0	0	0	4160.1	0	4857.7	3585	0	0	2888.6	0	0	3087.7	0	0	3992.1	0	0	0	0	0	0	0
22875	0	7818.6	0	0	0	0	0	4422.9	0	0	0	0	0	0	0	3133.3	4831.6	3830.8	6948.7	0	0	6705	0	0	0	0	3042.1	0	0	7200.7	0	0	0	0	0	3252.7	0	0	7412.7	0	0	6463.7	4386.8	0	0	0	0	5385.1	11307.6	0
22876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1344.6	664.2	0	0	0	0	0	0	0
22877	6643.7	9414.6	14551.1	13863.1	7534.5	12437.5	10863.1	13039	8747.9	18323.7	12903.9	11914.1	6739.8	11282.4	21264.6	9324.3	17870.9	9593.8	7314.6	9504.7	23721.7	6528.1	11571.2	9431	22493.3	13797.6	15294.4	9559.4	7088.9	6352.7	8972.5	6003	10850	12180.2	4517.4	8329.7	13396.4	3545.4	8861.9	10887	21232.7	8977.3	10895.6	22038.1	15440.9	16777.4	13018.1	9558.4	9680.7	19910.3
22870	12145.2	19131.1	13318.4	19937.4	20741.1	11394.3	8838.4	10747.9	15275.4	21431.8	14798.7	15092.6	12914.7	15763.9	12042.5	17819.7	16006.6	12165.4	14743.4	14337.9	18633.2	19276.8	16918.5	13372.3	19584.1	13500.8	13037.2	16198.9	8967.2	0	14694.6	15138.4	16447.9	17052.1	16493.9	12628.7	14221.9	17539.5	19028.3	14191.6	17326	9738.9	14085.5	16549.4	18400.4	10448.5	0	0	16455.5	13261.8
22871	0	0	0	0	0	0	0	0	2028.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1462.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22872	3599.9	3499.6	3614.1	0	3350.5	3664.4	0	0	0	1492	0	0	4142.2	0	3754	1922.3	0	0	0	2776.1	0	0	2894.3	0	4599.3	2130.7	0	4083.2	0	2218.9	2281.5	0	0	3260.6	3252.9	3567.8	3492.9	0	5230.7	2150.8	5082.6	3323	2933.5	0	0	2644.1	1154	0	0	3056.3
22873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1025.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22878	0	7181.8	11430.9	17291.5	0	7795.3	10708.3	9815.5	11059.3	13194.3	14223.8	9724.2	9748	9786.4	0	11237	7431.5	8723.7	7831	7901.8	9006.3	10226.5	6658.9	9064.1	17209.2	8301.3	9653	7300.9	6288.3	7972.3	8410.2	6401.5	6692.8	5964.6	6673	0	7491.5	0	14372.3	7422	11422.1	7942	11357.3	10955.9	13025	10016	7345.4	12096.8	6714.2	9225.1
138046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5833.8	3047.5	0	0	3259.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2184.2	0	0	0
3512	8440	6648.5	12885.7	7507.5	2889	2854.8	2710	31093.2	1671	15323.4	9129	5167.7	6444.4	2215	9650.4	6548.3	6092.3	3916.8	0	0	3548.3	1219.4	4805.8	5398.8	3942.7	3469.3	0	11654.6	0	6725.5	0	5419.2	10661.9	0	0	2117.8	0	3336.6	9275.5	3269.9	3883	0	636	11206.8	4641.9	2455.3	1291.1	7749.1	7350.6	2795.3
3516	0	4383.2	2700.3	2333.4	3879.1	0	5921.5	4450.3	3138.6	3295.6	3646	3135.2	4001.3	3508.4	4307.5	3394.9	3664	2957.9	0	4052.5	2835.3	2727.1	4144.4	3209.8	4719	3951.5	2234	2447.8	0	0	4501.8	0	4410.3	2855.8	0	2190.5	3530.8	3265.8	2939.9	2512.3	3895	4881	4390.3	4133	3854.9	3002.5	4607.7	2163.6	0	3528.5
3514	0	17364.4	51701.2	33618.9	23439.9	15717.4	10945.2	96211.9	20994.9	26521.3	13196.1	8671.3	30548.8	34570.4	9774.8	65228.4	25484.5	15472	20661.2	16870.6	21784.1	34215.8	32124	28302.7	11079.3	17578.8	26251.7	133724.8	0	22708.8	44030	44049	34811.4	0	6800.5	21740.5	7580.8	60830.8	69797.1	54468.8	98881.7	9612.8	3718.6	8227.8	41657.7	45595.7	31649.2	23877.4	16947.8	27847.3
2688	0	0	0	4021.2	0	0	0	0	0	0	3006.4	0	0	2337.4	0	2006.4	0	0	2292	0	0	0	2177.2	2080.6	1935.3	1114.3	0	0	0	0	0	2177.7	0	3381.3	7383	0	0	0	0	1797.1	2748.3	0	0	0	1564.8	0	0	0	0	0
2689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2317.3	0	0	0	0	1765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	668.5	0	0	0
727837	2160.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2687	0	0	0	0	0	0	0	0	0	0	4862.1	0	0	4527.6	0	0	0	0	0	0	0	0	0	0	0	0	0	4962.6	0	0	0	0	0	0	0	5841.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2683	16317.2	8913.9	8680.8	7409.5	5628.5	0	8201	6082	5835.5	11265.6	6034.8	12756.9	6843.8	7548	11753.2	4632	8723.7	6786.7	5077.5	7538.6	6928.5	8631.8	0	5554.9	0	7197.3	2904.9	10982.7	6327.2	5205.3	5445.3	7821.2	7026.9	0	0	7584.1	5722	0	9802.5	0	7480.2	4867.7	6387.2	6919.5	0	6321.9	5769.3	12316.4	0	4883.7
98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1006.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
91	0	0	0	0	0	0	0	11812.8	0	0	0	0	0	0	0	0	0	11644	0	0	0	0	0	0	0	15981.7	0	0	0	13243.5	0	0	0	0	0	25880	22002.9	0	21856	0	0	23262.9	0	27714.5	0	23362.4	0	30079.3	0	0
90	2965.7	2055.2	0	0	0	0	0	0	0	0	0	3325.8	0	0	0	861.6	2289.1	1617.2	0	0	1623.4	2199	0	1267.6	0	1017.4	0	2323.3	0	0	0	0	0	0	0	0	0	0	0	0	2171.2	1943.7	1518.3	0	0	0	0	0	3887.8	0
93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
92	0	1677	0	0	2913.9	0	0	0	0	0	0	0	0	0	0	0	2530.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613.6	0	0	0	0	0	1258.8	0	0	0
95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7754.5	17533.3	16485.9	0	13147.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
97	2857.4	2397.3	3333	4540.9	0	4794.1	6588.2	8240.2	6898.3	1986.7	2707.3	3861.6	8800.5	4555.5	3297	3758.8	2012.1	3168	7112.1	3233.9	3893.4	2312.6	2623.5	11740.3	3700.7	2356.2	3146.7	3939.2	0	2594.3	4167.7	7033.1	4658.1	5517.8	0	2602.1	2568.5	2866.5	5022.5	4147.3	4770	0	2873.3	3363.9	5406.7	3727	1942.2	2658.4	4201.6	2609.2
280657	6052.7	1997.8	0	4226	3998	0	2349.8	0	0	0	0	3123	1458.7	0	0	1005.8	0	0	0	2266.5	2412.2	3316.5	2772.3	0	2876	1012.9	0	2647.2	2763.9	3071.9	0	2127.4	0	0	0	3476.1	3047.4	0	2204.3	0	0	0	4245.1	988.4	1521.1	4113.2	4060	0	3843.1	1009.9
